patch_id,labels,split,country,s1_name,s2v1_name,contains_seasonal_snow,contains_cloud_or_shadow,s2_product,s1_product,s1_mission
S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_38_80,"[""Agro-forestry areas"", ""Arable land"", ""Mixed forest"", ""Transitional woodland, shrub""]",train,Portugal,S1A_IW_GRDH_1SDV_20170706T064300_29SND_38_80,S2A_MSIL2A_20170704T112111_38_80,False,False,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND,S1A_IW_GRDH_1SDV_20170706T064300,S1A
S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_48_83,"[""Agro-forestry areas"", ""Broad-leaved forest""]",train,Portugal,S1A_IW_GRDH_1SDV_20170706T064300_29SND_48_83,S2A_MSIL2A_20170704T112111_48_83,False,False,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND,S1A_IW_GRDH_1SDV_20170706T064300,S1A
S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_42_87,"[""Agro-forestry areas"", ""Complex cultivation patterns"", ""Mixed forest"", ""Urban fabric""]",train,Portugal,S1A_IW_GRDH_1SDV_20170706T064300_29SND_42_87,S2A_MSIL2A_20170704T112111_42_87,False,False,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND,S1A_IW_GRDH_1SDV_20170706T064300,S1A
S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_17_80,"[""Agro-forestry areas"", ""Broad-leaved forest"", ""Permanent crops"", ""Transitional woodland, shrub""]",train,Portugal,S1A_IW_GRDH_1SDV_20170706T064300_29SND_17_80,S2A_MSIL2A_20170704T112111_17_80,False,False,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND,S1A_IW_GRDH_1SDV_20170706T064300,S1A
S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_35_90,"[""Agro-forestry areas"", ""Broad-leaved forest"", ""Pastures"", ""Permanent crops"", ""Transitional woodland, shrub""]",train,Portugal,S1A_IW_GRDH_1SDV_20170706T064300_29SND_35_90,S2A_MSIL2A_20170704T112111_35_90,False,False,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND,S1A_IW_GRDH_1SDV_20170706T064300,S1A
S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_39_82,"[""Agro-forestry areas"", ""Mixed forest"", ""Permanent crops""]",train,Portugal,S1A_IW_GRDH_1SDV_20170706T064300_29SND_39_82,S2A_MSIL2A_20170704T112111_39_82,False,False,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND,S1A_IW_GRDH_1SDV_20170706T064300,S1A
S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_42_86,"[""Agro-forestry areas"", ""Complex cultivation patterns"", ""Mixed forest""]",train,Portugal,S1A_IW_GRDH_1SDV_20170706T064300_29SND_42_86,S2A_MSIL2A_20170704T112111_42_86,False,False,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND,S1A_IW_GRDH_1SDV_20170706T064300,S1A
S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_33_90,"[""Agro-forestry areas"", ""Mixed forest""]",train,Portugal,S1A_IW_GRDH_1SDV_20170706T064300_29SND_33_90,S2A_MSIL2A_20170704T112111_33_90,False,False,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND,S1A_IW_GRDH_1SDV_20170706T064300,S1A
S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_25_89,"[""Agro-forestry areas"", ""Arable land"", ""Broad-leaved forest""]",train,Portugal,S1A_IW_GRDH_1SDV_20170706T064300_29SND_25_89,S2A_MSIL2A_20170704T112111_25_89,False,False,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND,S1A_IW_GRDH_1SDV_20170706T064300,S1A
S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_13_84,"[""Agro-forestry areas"", ""Broad-leaved forest""]",train,Portugal,S1A_IW_GRDH_1SDV_20170706T064300_29SND_13_84,S2A_MSIL2A_20170704T112111_13_84,False,False,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND,S1A_IW_GRDH_1SDV_20170706T064300,S1A
S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_42_81,"[""Agro-forestry areas"", ""Broad-leaved forest"", ""Complex cultivation patterns"", ""Mixed forest""]",train,Portugal,S1A_IW_GRDH_1SDV_20170706T064300_29SND_42_81,S2A_MSIL2A_20170704T112111_42_81,False,False,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND,S1A_IW_GRDH_1SDV_20170706T064300,S1A
S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_48_81,"[""Agro-forestry areas"", ""Broad-leaved forest""]",train,Portugal,S1A_IW_GRDH_1SDV_20170706T064300_29SND_48_81,S2A_MSIL2A_20170704T112111_48_81,False,False,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND,S1A_IW_GRDH_1SDV_20170706T064300,S1A
S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_12_61,"[""Agro-forestry areas"", ""Arable land"", ""Broad-leaved forest"", ""Transitional woodland, shrub"", ""Urban fabric""]",train,Portugal,S1A_IW_GRDH_1SDV_20170706T064300_29SND_12_61,S2A_MSIL2A_20170704T112111_12_61,False,False,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND,S1A_IW_GRDH_1SDV_20170706T064300,S1A
S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_11_81,"[""Agro-forestry areas"", ""Arable land"", ""Mixed forest""]",train,Portugal,S1A_IW_GRDH_1SDV_20170706T064300_29SND_11_81,S2A_MSIL2A_20170704T112111_11_81,False,False,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND,S1A_IW_GRDH_1SDV_20170706T064300,S1A
S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_38_82,"[""Agro-forestry areas"", ""Arable land"", ""Coniferous forest"", ""Mixed forest"", ""Permanent crops""]",train,Portugal,S1A_IW_GRDH_1SDV_20170706T064300_29SND_38_82,S2A_MSIL2A_20170704T112111_38_82,False,False,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND,S1A_IW_GRDH_1SDV_20170706T064300,S1A
S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_06_88,"[""Agro-forestry areas"", ""Arable land"", ""Broad-leaved forest"", ""Coniferous forest"", ""Permanent crops""]",train,Portugal,S1A_IW_GRDH_1SDV_20170706T064300_29SND_6_88,S2A_MSIL2A_20170704T112111_6_88,False,False,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND,S1A_IW_GRDH_1SDV_20170706T064300,S1A
S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_08_62,"[""Agro-forestry areas"", ""Complex cultivation patterns"", ""Mixed forest"", ""Pastures"", ""Transitional woodland, shrub"", ""Urban fabric""]",train,Portugal,S1A_IW_GRDH_1SDV_20170706T064300_29SND_8_62,S2A_MSIL2A_20170704T112111_8_62,False,False,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND,S1A_IW_GRDH_1SDV_20170706T064300,S1A
S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_40_79,"[""Agro-forestry areas"", ""Mixed forest""]",train,Portugal,S1A_IW_GRDH_1SDV_20170706T064300_29SND_40_79,S2A_MSIL2A_20170704T112111_40_79,False,False,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND,S1A_IW_GRDH_1SDV_20170706T064300,S1A
S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_26_90,"[""Agro-forestry areas"", ""Arable land"", ""Broad-leaved forest"", ""Land principally occupied by agriculture, with significant areas of natural vegetation"", ""Urban fabric""]",train,Portugal,S1A_IW_GRDH_1SDV_20170706T064300_29SND_26_90,S2A_MSIL2A_20170704T112111_26_90,False,False,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND,S1A_IW_GRDH_1SDV_20170706T064300,S1A
S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_08_82,"[""Agro-forestry areas"", ""Arable land"", ""Pastures""]",train,Portugal,S1A_IW_GRDH_1SDV_20170706T064300_29SND_8_82,S2A_MSIL2A_20170704T112111_8_82,False,False,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND,S1A_IW_GRDH_1SDV_20170706T064300,S1A
S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_27_89,"[""Agro-forestry areas"", ""Arable land"", ""Broad-leaved forest"", ""Transitional woodland, shrub""]",train,Portugal,S1A_IW_GRDH_1SDV_20170706T064300_29SND_27_89,S2A_MSIL2A_20170704T112111_27_89,False,False,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND,S1A_IW_GRDH_1SDV_20170706T064300,S1A
S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_14_85,"[""Agro-forestry areas"", ""Broad-leaved forest""]",train,Portugal,S1A_IW_GRDH_1SDV_20170706T064300_29SND_14_85,S2A_MSIL2A_20170704T112111_14_85,False,False,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND,S1A_IW_GRDH_1SDV_20170706T064300,S1A
S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_33_87,"[""Agro-forestry areas"", ""Arable land"", ""Broad-leaved forest"", ""Mixed forest"", ""Pastures""]",train,Portugal,S1A_IW_GRDH_1SDV_20170706T064300_29SND_33_87,S2A_MSIL2A_20170704T112111_33_87,False,False,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND,S1A_IW_GRDH_1SDV_20170706T064300,S1A
S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_42_84,"[""Agro-forestry areas"", ""Mixed forest"", ""Pastures"", ""Transitional woodland, shrub""]",train,Portugal,S1A_IW_GRDH_1SDV_20170706T064300_29SND_42_84,S2A_MSIL2A_20170704T112111_42_84,False,False,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND,S1A_IW_GRDH_1SDV_20170706T064300,S1A
S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_47_78,"[""Agro-forestry areas"", ""Arable land"", ""Broad-leaved forest"", ""Coniferous forest"", ""Mixed forest""]",train,Portugal,S1A_IW_GRDH_1SDV_20170706T064300_29SND_47_78,S2A_MSIL2A_20170704T112111_47_78,False,False,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND,S1A_IW_GRDH_1SDV_20170706T064300,S1A
S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_06_51,"[""Agro-forestry areas"", ""Broad-leaved forest"", ""Complex cultivation patterns"", ""Transitional woodland, shrub""]",train,Portugal,S1A_IW_GRDH_1SDV_20170706T064300_29SND_6_51,S2A_MSIL2A_20170704T112111_6_51,False,False,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND,S1A_IW_GRDH_1SDV_20170706T064300,S1A
S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_28_90,"[""Agro-forestry areas"", ""Broad-leaved forest"", ""Mixed forest"", ""Pastures"", ""Transitional woodland, shrub""]",train,Portugal,S1A_IW_GRDH_1SDV_20170706T064300_29SND_28_90,S2A_MSIL2A_20170704T112111_28_90,False,False,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND,S1A_IW_GRDH_1SDV_20170706T064300,S1A
S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_14_84,"[""Agro-forestry areas"", ""Broad-leaved forest""]",train,Portugal,S1A_IW_GRDH_1SDV_20170706T064300_29SND_14_84,S2A_MSIL2A_20170704T112111_14_84,False,False,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND,S1A_IW_GRDH_1SDV_20170706T064300,S1A
S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_28_89,"[""Agro-forestry areas"", ""Broad-leaved forest"", ""Mixed forest"", ""Pastures"", ""Transitional woodland, shrub""]",train,Portugal,S1A_IW_GRDH_1SDV_20170706T064300_29SND_28_89,S2A_MSIL2A_20170704T112111_28_89,False,False,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND,S1A_IW_GRDH_1SDV_20170706T064300,S1A
S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_28_87,"[""Agro-forestry areas"", ""Arable land"", ""Broad-leaved forest"", ""Mixed forest""]",train,Portugal,S1A_IW_GRDH_1SDV_20170706T064300_29SND_28_87,S2A_MSIL2A_20170704T112111_28_87,False,False,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND,S1A_IW_GRDH_1SDV_20170706T064300,S1A
S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_08_83,"[""Agro-forestry areas"", ""Arable land""]",train,Portugal,S1A_IW_GRDH_1SDV_20170706T064300_29SND_8_83,S2A_MSIL2A_20170704T112111_8_83,False,False,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND,S1A_IW_GRDH_1SDV_20170706T064300,S1A
S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_29_89,"[""Agro-forestry areas"", ""Broad-leaved forest"", ""Complex cultivation patterns"", ""Coniferous forest"", ""Mixed forest"", ""Pastures"", ""Transitional woodland, shrub""]",train,Portugal,S1A_IW_GRDH_1SDV_20170706T064300_29SND_29_89,S2A_MSIL2A_20170704T112111_29_89,False,False,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND,S1A_IW_GRDH_1SDV_20170706T064300,S1A
S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_46_83,"[""Agro-forestry areas"", ""Broad-leaved forest""]",train,Portugal,S1A_IW_GRDH_1SDV_20170706T064300_29SND_46_83,S2A_MSIL2A_20170704T112111_46_83,False,False,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND,S1A_IW_GRDH_1SDV_20170706T064300,S1A
S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_07_84,"[""Agro-forestry areas"", ""Arable land""]",train,Portugal,S1A_IW_GRDH_1SDV_20170706T064300_29SND_7_84,S2A_MSIL2A_20170704T112111_7_84,False,False,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND,S1A_IW_GRDH_1SDV_20170706T064300,S1A
S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_16_80,"[""Agro-forestry areas"", ""Arable land"", ""Broad-leaved forest"", ""Permanent crops""]",train,Portugal,S1A_IW_GRDH_1SDV_20170706T064300_29SND_16_80,S2A_MSIL2A_20170704T112111_16_80,False,False,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND,S1A_IW_GRDH_1SDV_20170706T064300,S1A
S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_41_89,"[""Agro-forestry areas"", ""Broad-leaved forest"", ""Mixed forest""]",train,Portugal,S1A_IW_GRDH_1SDV_20170706T064300_29SND_41_89,S2A_MSIL2A_20170704T112111_41_89,False,False,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND,S1A_IW_GRDH_1SDV_20170706T064300,S1A
S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_19_79,"[""Agro-forestry areas"", ""Broad-leaved forest"", ""Mixed forest"", ""Pastures"", ""Transitional woodland, shrub""]",train,Portugal,S1A_IW_GRDH_1SDV_20170706T064300_29SND_19_79,S2A_MSIL2A_20170704T112111_19_79,False,False,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND,S1A_IW_GRDH_1SDV_20170706T064300,S1A
S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_41_78,"[""Agro-forestry areas"", ""Broad-leaved forest"", ""Mixed forest"", ""Pastures""]",train,Portugal,S1A_IW_GRDH_1SDV_20170706T064300_29SND_41_78,S2A_MSIL2A_20170704T112111_41_78,False,False,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND,S1A_IW_GRDH_1SDV_20170706T064300,S1A
S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_20_78,"[""Agro-forestry areas"", ""Broad-leaved forest"", ""Mixed forest"", ""Pastures"", ""Transitional woodland, shrub""]",train,Portugal,S1A_IW_GRDH_1SDV_20170706T064300_29SND_20_78,S2A_MSIL2A_20170704T112111_20_78,False,False,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND,S1A_IW_GRDH_1SDV_20170706T064300,S1A
S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_37_89,"[""Agro-forestry areas"", ""Inland waters"", ""Mixed forest""]",train,Portugal,S1A_IW_GRDH_1SDV_20170706T064300_29SND_37_89,S2A_MSIL2A_20170704T112111_37_89,False,False,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND,S1A_IW_GRDH_1SDV_20170706T064300,S1A
S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_07_78,"[""Agro-forestry areas"", ""Arable land"", ""Complex cultivation patterns"", ""Pastures""]",train,Portugal,S1A_IW_GRDH_1SDV_20170706T064300_29SND_7_78,S2A_MSIL2A_20170704T112111_7_78,False,False,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND,S1A_IW_GRDH_1SDV_20170706T064300,S1A
S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_34_87,"[""Agro-forestry areas"", ""Arable land"", ""Broad-leaved forest""]",train,Portugal,S1A_IW_GRDH_1SDV_20170706T064300_29SND_34_87,S2A_MSIL2A_20170704T112111_34_87,False,False,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND,S1A_IW_GRDH_1SDV_20170706T064300,S1A
S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_44_86,"[""Agro-forestry areas"", ""Complex cultivation patterns"", ""Mixed forest""]",train,Portugal,S1A_IW_GRDH_1SDV_20170706T064300_29SND_44_86,S2A_MSIL2A_20170704T112111_44_86,False,False,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND,S1A_IW_GRDH_1SDV_20170706T064300,S1A
S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_46_89,"[""Agro-forestry areas"", ""Arable land"", ""Permanent crops"", ""Urban fabric""]",train,Portugal,S1A_IW_GRDH_1SDV_20170706T064300_29SND_46_89,S2A_MSIL2A_20170704T112111_46_89,False,False,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND,S1A_IW_GRDH_1SDV_20170706T064300,S1A
S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_28_79,"[""Agro-forestry areas"", ""Pastures"", ""Transitional woodland, shrub""]",train,Portugal,S1A_IW_GRDH_1SDV_20170706T064300_29SND_28_79,S2A_MSIL2A_20170704T112111_28_79,False,False,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND,S1A_IW_GRDH_1SDV_20170706T064300,S1A
S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_09_85,"[""Agro-forestry areas"", ""Arable land"", ""Permanent crops""]",train,Portugal,S1A_IW_GRDH_1SDV_20170706T064300_29SND_9_85,S2A_MSIL2A_20170704T112111_9_85,False,False,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND,S1A_IW_GRDH_1SDV_20170706T064300,S1A
S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_38_81,"[""Agro-forestry areas"", ""Arable land"", ""Coniferous forest"", ""Mixed forest"", ""Transitional woodland, shrub""]",train,Portugal,S1A_IW_GRDH_1SDV_20170706T064300_29SND_38_81,S2A_MSIL2A_20170704T112111_38_81,False,False,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND,S1A_IW_GRDH_1SDV_20170706T064300,S1A
S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_33_85,"[""Agro-forestry areas"", ""Broad-leaved forest"", ""Complex cultivation patterns"", ""Transitional woodland, shrub""]",train,Portugal,S1A_IW_GRDH_1SDV_20170706T064300_29SND_33_85,S2A_MSIL2A_20170704T112111_33_85,False,False,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND,S1A_IW_GRDH_1SDV_20170706T064300,S1A
S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_39_89,"[""Agro-forestry areas"", ""Arable land"", ""Broad-leaved forest"", ""Mixed forest"", ""Transitional woodland, shrub""]",train,Portugal,S1A_IW_GRDH_1SDV_20170706T064300_29SND_39_89,S2A_MSIL2A_20170704T112111_39_89,False,False,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND,S1A_IW_GRDH_1SDV_20170706T064300,S1A
S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_10_82,"[""Agro-forestry areas"", ""Arable land""]",train,Portugal,S1A_IW_GRDH_1SDV_20170706T064300_29SND_10_82,S2A_MSIL2A_20170704T112111_10_82,False,False,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND,S1A_IW_GRDH_1SDV_20170706T064300,S1A
S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_07_81,"[""Agro-forestry areas"", ""Arable land"", ""Pastures""]",train,Portugal,S1A_IW_GRDH_1SDV_20170706T064300_29SND_7_81,S2A_MSIL2A_20170704T112111_7_81,False,False,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND,S1A_IW_GRDH_1SDV_20170706T064300,S1A
S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_16_78,"[""Agro-forestry areas"", ""Broad-leaved forest"", ""Transitional woodland, shrub""]",train,Portugal,S1A_IW_GRDH_1SDV_20170706T064300_29SND_16_78,S2A_MSIL2A_20170704T112111_16_78,False,False,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND,S1A_IW_GRDH_1SDV_20170706T064300,S1A
S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_34_82,"[""Agro-forestry areas"", ""Broad-leaved forest"", ""Mixed forest""]",train,Portugal,S1A_IW_GRDH_1SDV_20170706T064300_29SND_34_82,S2A_MSIL2A_20170704T112111_34_82,False,False,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND,S1A_IW_GRDH_1SDV_20170706T064300,S1A
S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_07_50,"[""Agro-forestry areas"", ""Arable land"", ""Broad-leaved forest"", ""Complex cultivation patterns""]",train,Portugal,S1A_IW_GRDH_1SDV_20170706T064300_29SND_7_50,S2A_MSIL2A_20170704T112111_7_50,False,False,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND,S1A_IW_GRDH_1SDV_20170706T064300,S1A
S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_44_87,"[""Agro-forestry areas"", ""Complex cultivation patterns"", ""Mixed forest""]",train,Portugal,S1A_IW_GRDH_1SDV_20170706T064300_29SND_44_87,S2A_MSIL2A_20170704T112111_44_87,False,False,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND,S1A_IW_GRDH_1SDV_20170706T064300,S1A
S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_14_82,"[""Agro-forestry areas"", ""Mixed forest""]",train,Portugal,S1A_IW_GRDH_1SDV_20170706T064300_29SND_14_82,S2A_MSIL2A_20170704T112111_14_82,False,False,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND,S1A_IW_GRDH_1SDV_20170706T064300,S1A
S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_47_79,"[""Agro-forestry areas"", ""Arable land"", ""Broad-leaved forest"", ""Mixed forest""]",train,Portugal,S1A_IW_GRDH_1SDV_20170706T064300_29SND_47_79,S2A_MSIL2A_20170704T112111_47_79,False,False,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND,S1A_IW_GRDH_1SDV_20170706T064300,S1A
S2A_MSIL2A_20170704T112111_N9999_R037_T29SND_42_85,"[""Agro-forestry areas"", ""Mixed forest"", ""Pastures""]",train,Portugal,S1A_IW_GRDH_1SDV_20170706T064300_29SND_42_85,S2A_MSIL2A_20170704T112111_42_85,False,False,S2A_MSIL2A_20170704T112111_N9999_R037_T29SND,S1A_IW_GRDH_1SDV_20170706T064300,S1A
